Point	X	Y	Z
0	35996 mm	3472 mm	2386 mm
1	35996 mm	3472 mm	-2386 mm
2	28196 mm	2900 mm	-2759 mm
3	21000 mm	3636 mm	-2759 mm
4	14000 mm	2830 mm	-2759 mm
5	4796 mm	2830 mm	-2759 mm
6	4796 mm	2830 mm	2759 mm
7	14000 mm	2830 mm	2759.151 mm
8	21000 mm	3636 mm	2758.849 mm
9	28196 mm	2900 mm	2758.849 mm
