Point	X	Y	Z
0	28170 mm	2886 mm	-2840 mm
1	30950 mm	3080 mm	-2840 mm
2	35980 mm	3477 mm	-2840 mm
3	43934 mm	3450 mm	-880 mm
4	43934.009 mm	3450 mm	0 mm
5	43933.991 mm	2860 mm	0 mm
6	43934 mm	2860 mm	-880 mm
7	35980 mm	130 mm	-2840 mm
8	30950 mm	-1590 mm	-2840 mm
9	28170 mm	-2278 mm	-2840 mm
